Order ID,Order Date,Brand ID,Buyer ID,Seller ID
1,2023-01-03,1,2,5
2,2023-03-29,7,88,23
3,2023-03-14,6,61,58
4,2022-11-27,3,86,80
5,2022-11-16,2,90,53
6,2022-10-21,5,83,8
7,2022-09-15,6,50,99
8,2022-12-03,5,81,87
9,2023-01-23,7,12,73
10,2023-02-03,2,86,39
11,2022-11-03,4,82,70
12,2023-05-29,8,24,69
13,2022-09-01,3,24,72
14,2023-04-08,2,63,8
15,2022-12-20,1,73,88
16,2022-12-07,6,15,18
17,2022-08-09,6,76,81
18,2023-03-16,1,17,83
19,2023-06-05,8,59,16
20,2023-03-13,7,29,10
21,2023-01-14,5,63,48
22,2023-03-25,1,78,8
23,2022-11-11,2,27,62
24,2022-12-18,7,95,49
25,2022-09-14,2,51,30
26,2022-09-10,3,82,43
27,2022-12-27,1,3,10
28,2022-10-29,8,11,27
29,2022-11-01,7,65,70
30,2023-07-13,2,44,4
31,2022-11-01,5,53,14
32,2023-07-24,4,43,22
33,2023-07-06,2,57,54
34,2022-12-11,4,90,98
35,2023-03-14,5,84,49
36,2022-09-14,4,67,14
37,2023-03-07,1,47,42
38,2023-02-02,2,59,58
39,2023-01-02,1,87,48
40,2023-03-16,7,12,45
41,2022-10-20,5,37,79
42,2022-12-02,3,20,88
43,2022-09-19,1,3,90
44,2023-06-15,5,31,75
45,2023-07-30,8,42,26
46,2023-05-15,5,78,89
47,2023-04-21,8,41,41
48,2022-10-29,2,4,49
49,2022-10-17,3,23,98
50,2022-08-29,7,16,91
51,2022-10-15,7,83,85
52,2022-09-04,6,51,22
53,2022-09-19,4,18,52
54,2023-01-17,3,15,54
55,2022-10-01,6,32,81
56,2023-01-28,1,87,20
57,2022-11-13,1,57,30
58,2022-10-21,2,31,74
59,2023-03-14,6,38,69
60,2022-08-24,6,51,19
61,2023-03-04,7,9,85
62,2023-05-17,4,22,1
63,2022-10-20,1,11,43
64,2022-09-04,8,94,65
65,2023-07-07,7,3,73
66,2023-06-23,3,54,62
67,2023-07-10,1,12,19
68,2023-05-05,8,2,99
69,2023-02-22,6,99,37
70,2023-01-11,5,86,43
71,2023-02-28,5,65,90
72,2023-01-22,5,47,98
73,2022-11-17,6,79,27
74,2023-06-16,4,60,91
75,2022-08-10,5,27,16
76,2023-03-30,2,7,69
77,2023-03-08,7,95,65
78,2023-03-13,8,98,16
79,2023-07-29,2,64,37
80,2023-01-10,8,44,77
81,2023-06-28,7,68,39
82,2022-12-13,3,26,100
83,2022-09-30,5,37,92
84,2023-05-08,4,85,2
85,2022-11-04,1,98,34
86,2022-08-19,6,70,75
87,2023-02-16,1,68,4
88,2023-05-17,4,90,100
89,2023-01-22,2,53,51
90,2023-01-21,1,91,34
91,2023-06-24,3,36,11
92,2023-07-18,8,29,50
93,2022-10-14,7,66,56
94,2022-10-20,8,22,10
95,2023-03-10,2,10,80
96,2022-11-19,6,74,19
97,2022-12-06,2,93,93
98,2023-03-01,6,16,74
99,2023-04-07,8,55,69
100,2022-09-20,5,46,64
101,2023-02-09,5,37,34
102,2022-12-31,6,2,34
103,2023-05-16,7,86,43
104,2023-02-13,2,14,30
105,2022-10-15,3,99,64
106,2023-07-19,2,29,76
107,2022-08-05,8,32,29
108,2022-11-12,4,1,29
109,2023-05-30,8,38,5
110,2023-03-09,2,55,72
111,2023-01-28,8,94,4
112,2023-04-25,8,23,92
113,2023-06-11,2,67,20
114,2023-01-26,2,40,24
115,2022-08-26,6,43,11
116,2023-03-04,4,69,35
117,2023-07-13,8,74,86
118,2022-11-03,2,8,96
119,2023-03-16,2,17,6
120,2022-11-22,1,51,22
121,2022-11-22,1,20,51
122,2023-04-24,6,93,13
123,2022-11-10,8,25,92
124,2022-11-28,7,9,62
125,2023-06-13,6,8,52
126,2022-10-10,2,38,34
127,2023-01-22,4,6,10
128,2023-04-01,8,55,71
129,2023-02-02,3,80,96
130,2023-07-23,8,89,19
131,2023-04-01,7,77,77
132,2023-07-13,4,81,61
133,2022-10-25,8,16,68
134,2023-05-13,6,69,79
135,2022-10-08,7,23,70
136,2022-09-17,7,27,58
137,2022-11-21,1,42,27
138,2022-12-15,7,94,63
139,2023-05-11,4,50,11
140,2023-06-03,3,75,59
141,2022-11-24,5,97,33
142,2022-11-11,6,58,79
143,2022-08-18,5,86,97
144,2023-02-11,2,1,47
145,2023-05-31,4,87,72
146,2023-04-09,4,48,100
147,2023-06-27,2,38,96
148,2022-08-07,5,93,29
149,2023-01-28,8,9,79
150,2023-02-19,3,71,64
151,2022-11-17,5,82,21
152,2022-09-21,2,57,9
153,2023-04-28,8,91,24
154,2023-06-12,7,78,3
155,2023-06-22,5,86,82
156,2023-05-10,8,13,6
157,2023-05-04,8,88,79
158,2023-06-12,1,41,10
159,2022-09-24,5,16,97
160,2022-12-26,1,89,37
161,2022-11-29,1,23,73
162,2023-04-26,8,87,82
163,2023-06-07,4,47,5
164,2023-02-05,3,79,67
165,2023-05-09,6,2,77
166,2022-11-14,4,9,26
167,2023-01-02,1,87,25
168,2022-10-02,2,77,21
169,2022-09-02,3,41,94
170,2023-03-20,8,51,94
171,2023-01-25,3,52,36
172,2022-08-05,1,77,49
173,2023-07-22,5,39,65
174,2022-11-21,7,46,100
175,2022-09-07,5,7,97
176,2023-02-22,2,90,86
177,2022-08-11,5,54,23
178,2022-09-16,8,82,18
179,2023-04-20,2,82,46
180,2023-06-23,4,65,84
181,2022-11-10,5,35,90
182,2023-02-28,5,20,4
183,2022-08-12,3,89,23
184,2022-10-23,2,28,90
185,2023-07-07,2,9,49
186,2023-06-23,3,13,44
187,2023-02-28,8,51,55
188,2023-06-17,2,4,82
189,2023-01-01,2,95,79
190,2023-04-29,8,58,58
191,2023-03-30,3,3,18
192,2023-05-12,7,92,61
193,2023-05-24,7,49,4
194,2023-04-29,3,51,87
195,2022-08-28,2,100,95
196,2022-10-28,2,88,75
197,2023-06-18,7,10,43
198,2023-02-01,6,50,22
199,2023-01-10,7,13,57
200,2022-10-23,4,81,76
